0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/a.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/d.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/e.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/img/pp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/img/mc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/img/visa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/img/maestro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/assets/img/new.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/img/disc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/font-awesome/font/fontawesome-webfont.woff?v=3.2.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:26 +0700] "GET /shopbanhang/assets/user/ico/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:29 +0700] "GET /shopbanhang/products.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:19:59:30 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:43 +0700] "GET /shopbanhang/ HTTP/1.1" 200 21030
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/bootstrap-ring.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/i.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/j.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/f.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/s.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/g.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/h.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/b.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/c.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/e.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:20:22:44 +0700] "GET /shopbanhang/assets/img/a.jpg HTTP/1.1" 404 682
